ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;iata_code;local_code;coordinates1;coordinates2
EBAW;medium_airport;Antwerp International Airport (Deurne);39;EU;BE;BE-VAN;Antwerp;EBAW;ANR;;4,460279942;51,18939972
EBBE;medium_airport;Beauvechain Air Base;370;EU;BE;BE-WBR;Beauvechain;EBBE;;;4,768330097;50,75859833
EBBL;medium_airport;Kleine Brogel Air Base;200;EU;BE;BE-VLI;Kleine Brogel;EBBL;;;5,47;51,168301
EBBR;large_airport;Brussels Airport;184;EU;BE;BE-BRU;Brussels;EBBR;BRU;;4,48443985;50,90140152
EBCI;large_airport;Brussels South Charleroi Airport;614;EU;BE;BE-WHT;Brussels;EBCI;CRL;;4,45382;50,459202
EBCV;medium_airport;ChiÃ¨vres Air Base;194;EU;BE;BE-WHT;ChiÃ¨vres;EBCV;;;3,83100009;50,57580185
EBFN;medium_airport;Koksijde Air Base;20;EU;BE;BE-VWV;Koksijde;EBFN;;;2,652780056;51,09030151
EBFS;medium_airport;Florennes Air Base;935;EU;BE;BE-WNA;Florennes;EBFS;;;4,645830154;50,24330139
EBKT;medium_airport;Wevelgem Airport;64;EU;BE;BE-VWV;Wevelgem;EBKT;KJK;;3,20472002;50,81719971
EBLG;large_airport;LiÃ¨ge Airport;659;EU;BE;BE-WLG;LiÃ¨ge;EBLG;LGG;;5,443220139;50,63740158
EBOS;medium_airport;Ostend-Bruges International Airport;13;EU;BE;BE-VWV;Ostend;EBOS;OST;;2,862220049;51,19889832
EDAC;medium_airport;Altenburg-Nobitz Airport;640;EU;DE;DE-TH;Altenburg;EDAC;AOC;;12,506389;50,981945
EDAH;medium_airport;Heringsdorf Airport;93;EU;DE;DE-MV;Heringsdorf;EDAH;HDF;;14,15229988;53,87870026
EDBM;medium_airport;"Magdeburg ""City"" Airport";259;EU;DE;DE-ST;Magdeburg;EDBM;ZMG;;11,626389;52,073612
EDBN;medium_airport;Neubrandenburg Airport;228;EU;DE;DE-MV;Neubrandenburg;EDBN;FNB;;13,306;53,6022
EDBR;medium_airport;Rothenburg/GÃ¶rlitz Airport;518;EU;DE;DE-SN;Rothenburg/Oberlausitz;EDBR;;;14,94999981;51,36333466
EDDB;large_airport;Berlin-SchÃ¶nefeld Airport;157;EU;DE;DE-BR;Berlin;EDDB;SXF;;13,5225;52,380001
EDDC;large_airport;Dresden Airport;755;EU;DE;DE-SN;Dresden;EDDC;DRS;;13,76720047;51,13280106
EDDE;medium_airport;Erfurt Airport;1036;EU;DE;DE-TH;Erfurt;EDDE;ERF;;10,95810032;50,97980118
EDDF;large_airport;Frankfurt am Main Airport;364;EU;DE;DE-HE;Frankfurt am Main;EDDF;FRA;;8,570556;50,033333
EDDG;large_airport;MÃ¼nster OsnabrÃ¼ck Airport;160;EU;DE;DE-NW;MÃ¼nster;EDDG;FMO;;7,684830189;52,13460159
EDDH;large_airport;Hamburg Airport;53;EU;DE;DE-HH;Hamburg;EDDH;HAM;;9,988229752;53,63040161
EDDK;large_airport;Cologne Bonn Airport;302;EU;DE;DE-NW;Cologne;EDDK;CGN;;7,142739773;50,86589813
EDDL;large_airport;DÃ¼sseldorf Airport;147;EU;DE;DE-NW;DÃ¼sseldorf;EDDL;DUS;;6,76678;51,289501
EDDM;large_airport;Munich Airport;1487;EU;DE;DE-BY;Munich;EDDM;MUC;;11,7861;48,353802
EDDN;large_airport;Nuremberg Airport;1046;EU;DE;DE-BY;Nuremberg;EDDN;NUE;;11,078056;49,498699
EDDP;large_airport;Leipzig/Halle Airport;465;EU;DE;DE-SN;Leipzig;EDDP;LEJ;;12,236389;51,423889
EDDR;medium_airport;SaarbrÃ¼cken Airport;1058;EU;DE;DE-SL;SaarbrÃ¼cken;EDDR;SCN;;7,109509945;49,21459961
EDDS;large_airport;Stuttgart Airport;1276;EU;DE;DE-BW;Stuttgart;EDDS;STR;;9,221960068;48,68989944
EDDT;large_airport;Berlin-Tegel Airport;122;EU;DE;DE-BE;Berlin;EDDT;TXL;;13,2877;52,5597
EDDV;large_airport;Hannover Airport;183;EU;DE;DE-NI;Hannover;EDDV;HAJ;;9,685079575;52,46110153
EDDW;large_airport;Bremen Airport;14;EU;DE;DE-HB;Bremen;EDDW;BRE;;8,786669731;53,04750061
EDFE;medium_airport;Frankfurt-Egelsbach Airport;384;EU;DE;DE-HE;Frankfurt am Main;EDFE;;;8,645833;49,959999
EDFH;medium_airport;Frankfurt-Hahn Airport;1649;EU;DE;DE-RP;Frankfurt am Main;EDFH;HHN;;7,26389;49,9487
EDFM;medium_airport;Mannheim-City Airport;308;EU;DE;DE-BW;Mannheim;EDFM;MHG;;8,514167;49,473057
EDFZ;medium_airport;Mainz-Finthen Airport;525;EU;DE;DE-RP;Mainz;EDFZ;;;8,147222;49,967499
EDGE;medium_airport;Eisenach-Kindel Airport;1112;EU;DE;DE-TH;Eisenach;EDGE;EIB;;10,47973;50,991604
EDGS;medium_airport;Siegerland Airport;1966;EU;DE;DE-NW;;EDGS;SGE;;8,082969666;50,70769882
EDHI;medium_airport;Hamburg-Finkenwerder Airport;23;EU;DE;DE-HH;Hamburg;EDHI;XFW;;9,83555603;53,53527832
EDHK;medium_airport;Kiel-Holtenau Airport;102;EU;DE;DE-SH;Kiel;EDHK;KEL;;10,14527798;54,37944412
EDHL;medium_airport;LÃ¼beck Blankensee Airport;53;EU;DE;DE-SH;LÃ¼beck;EDHL;LBC;;10,71920013;53,80540085
EDJA;medium_airport;Memmingen Allgau Airport;2077;EU;DE;DE-BY;Memmingen;EDJA;FMM;;10,23950005;47,98880005
EDLN;medium_airport;MÃ¶nchengladbach Airport;125;EU;DE;DE-NW;MÃ¶nchengladbach;EDLN;MGL;;6,504444;51,230278
EDLP;medium_airport;Paderborn Lippstadt Airport;699;EU;DE;DE-NW;Paderborn;EDLP;PAD;;8,616319656;51,61410141
EDLV;medium_airport;Weeze Airport;106;EU;DE;DE-NW;Weeze;EDLV;NRN;;6,142169952;51,60240173
EDLW;large_airport;Dortmund Airport;425;EU;DE;DE-NW;Dortmund;EDLW;DTM;;7,612239838;51,5182991
EDMA;medium_airport;Augsburg Airport;1516;EU;DE;DE-BY;Augsburg;EDMA;AGB;;10,931667;48,425278
EDMO;medium_airport;Oberpfaffenhofen Airport;1947;EU;DE;DE-BY;;EDMO;OBF;;11,2831;48,081402
EDNY;medium_airport;Friedrichshafen Airport;1367;EU;DE;DE-BW;Friedrichshafen;EDNY;FDH;;9,511489868;47,67129898
EDOP;medium_airport;Schwerin Parchim Airport;166;EU;DE;DE-MV;;EDOP;SZW;;11,7834;53,426998
EDQA;medium_airport;Airport Bamberg-Breitenau;811;EU;DE;DE-BY;Bamberg;EDQA;;;10,914233;49,920403
EDQD;medium_airport;Bayreuth Airport;1601;EU;DE;DE-BY;Bayreuth;EDQD;BYU;;11,64;49,985001
EDQM;medium_airport;Hof-Plauen Airport;1959;EU;DE;DE-BY;Hof;EDQM;HOQ;;11,85638905;50,28861237
EDSB;large_airport;Karlsruhe Baden-Baden Airport;408;EU;DE;DE-BW;Baden-Baden;EDSB;FKB;;8,080499649;48,77939987
EDTD;medium_airport;Donaueschingen-Villingen Airport;2231;EU;DE;DE-BW;Donaueschingen;EDTD;ZQL;;8,522221565;47,97333145
EDTL;medium_airport;Lahr Airport;511;EU;DE;DE-BW;;EDTL;LHA;;7,827720165;48,36930084
EDTY;medium_airport;Adolf WÃ¼rth Airport;1299;EU;DE;DE-BW;SchwÃ¤bisch Hall;EDTY;;;9,783888817;49,11833191
EDUZ;medium_airport;Zerbst Airport;289;EU;DE;DE-ST;Zerbst/Anhalt;EDUZ;;;12,148611;52,000832
EDVE;medium_airport;Braunschweig-Wolfsburg Airport;295;EU;DE;DE-NI;Braunschweig;EDVE;BWE;;10,5561;52,319199
EDVK;medium_airport;Kassel-Calden Airport;820;EU;DE;DE-HE;Kassel;EDVK;KSF;;9,384967;51,417273
EDXW;medium_airport;Westerland Sylt Airport;51;EU;DE;DE-SH;Westerland;EDXW;GWT;;8,340470314;54,91320038
EEEI;medium_airport;Ãmari Air Base;65;EU;EE;EE-37;Keila;EEEI;;;24,20849991;59,26029968
EEKA;medium_airport;KÃ¤rdla Airport;18;EU;EE;EE-39;KÃ¤rdla;EEKA;KDL;;22,83069992;58,99079895
EEKE;medium_airport;Kuressaare Airport;14;EU;EE;EE-74;Kuressaare;EEKE;URE;;22,5095005;58,22990036
EEPU;medium_airport;PÃ¤rnu Airport;47;EU;EE;EE-67;PÃ¤rnu;EEPU;EPU;;24,4727993;58,41899872
EETN;large_airport;Lennart Meri Tallinn Airport;131;EU;EE;EE-37;Tallinn;EETN;TLL;;24,83279991;59,41329956
EETU;medium_airport;Tartu Airport;219;EU;EE;EE-7B;Tartu;EETU;TAY;;26,69039917;58,30749893
EFET;medium_airport;Enontekio Airport;1005;EU;FI;FI-LL;Enontekio;EFET;ENF;;23,42429924;68,36260223
EFHA;medium_airport;Halli Airport;479;EU;FI;FI-LS;Halli / Kuorevesi;EFHA;KEV;;24,786686;61,856039
EFHF;medium_airport;Helsinki Malmi Airport;57;EU;FI;FI-ES;Helsinki;EFHF;HEM;;25,0428009;60,25460052
EFHK;large_airport;Helsinki Vantaa Airport;179;EU;FI;FI-ES;Helsinki;EFHK;HEL;;24,9633007;60,31719971
EFIT;medium_airport;Kitee Airport;364;EU;FI;FI-IS;;EFIT;KTQ;;30,073601;62,1661
EFIV;medium_airport;Ivalo Airport;481;EU;FI;FI-LL;Ivalo;EFIV;IVL;;27,40530014;68,6072998
EFJO;medium_airport;Joensuu Airport;398;EU;FI;FI-IS;Joensuu / Liperi;EFJO;JOE;;29,60750008;62,66289902
EFJY;medium_airport;Jyvaskyla Airport;459;EU;FI;FI-LS;JyvÃ¤skylÃ¤n Maalaiskunta;EFJY;JYV;;25,67830086;62,3995018
EFKA;medium_airport;Kauhava Airport;151;EU;FI;FI-LS;Kauhava;EFKA;KAU;;23,051399;63,127102
EFKE;medium_airport;Kemi-Tornio Airport;61;EU;FI;FI-LL;Kemi / Tornio;EFKE;KEM;;24,58209991;65,77870178
EFKI;medium_airport;Kajaani Airport;483;EU;FI;FI-OL;Kajaani;EFKI;KAJ;;27,69239998;64,28549957
EFKJ;medium_airport;Kauhajoki Airport;407;EU;FI;FI-LS;;EFKJ;KHJ;;22,39310074;62,46250153
EFKK;medium_airport;Kokkola-Pietarsaari Airport;84;EU;FI;FI-LS;Kokkola / Kruunupyy;EFKK;KOK;;23,14310074;63,72119904
EFKS;medium_airport;Kuusamo Airport;866;EU;FI;FI-OL;Kuusamo;EFKS;KAO;;29,23940086;65,98760223
EFKT;medium_airport;KittilÃ¤ Airport;644;EU;FI;FI-LL;KittilÃ¤;EFKT;KTT;;24,84679985;67,7009964
EFKU;medium_airport;Kuopio Airport;323;EU;FI;FI-IS;Kuopio / SiilinjÃ¤rvi;EFKU;KUO;;27,79780006;63,00709915
EFLP;medium_airport;Lappeenranta Airport;349;EU;FI;FI-ES;Lappeenranta;EFLP;LPP;;28,144743;61,044601
EFMA;medium_airport;Mariehamn Airport;17;EU;FI;FI-AL;;EFMA;MHQ;;19,89819908;60,12220001
EFMI;medium_airport;Mikkeli Airport;329;EU;FI;FI-IS;Mikkeli;EFMI;MIK;;27,201799;61,6866
EFOU;medium_airport;Oulu Airport;47;EU;FI;FI-OL;Oulu / Oulunsalo;EFOU;OUL;;25,35460091;64,93009949
EFPO;medium_airport;Pori Airport;44;EU;FI;FI-LS;Pori;EFPO;POR;;21,79999924;61,46170044
EFPR;medium_airport;Helsinki East-Redstone Airfield;72;EU;FI;FI-ES;Helsinki;EFPR;;;26,593889;60,479167
EFRO;medium_airport;Rovaniemi Airport;642;EU;FI;FI-LL;Rovaniemi;EFRO;RVN;;25,83040047;66,56479645
EFSA;medium_airport;Savonlinna Airport;311;EU;FI;FI-IS;Savonlinna;EFSA;SVL;;28,94510078;61,94309998
EFSI;medium_airport;SeinÃ¤joki Airport;302;EU;FI;FI-LS;SeinÃ¤joki / Ilmajoki;EFSI;SJY;;22,8323;62,692101
EFSO;medium_airport;Sodankyla Airport;602;EU;FI;FI-LL;Sodankyla;EFSO;SOT;;26,61910057;67,39499664
EFTP;medium_airport;Tampere-Pirkkala Airport;390;EU;FI;FI-LS;Tampere / Pirkkala;EFTP;TMP;;23,60440063;61,41410065
EFTU;medium_airport;Turku Airport;161;EU;FI;FI-LS;Turku;EFTU;TKU;;22,26280022;60,51409912
EFUT;medium_airport;Utti Air Base;339;EU;FI;FI-ES;Utti / Valkeala;EFUT;UTI;;26,93840027;60,89640045
EFVA;medium_airport;Vaasa Airport;19;EU;FI;FI-LS;Vaasa;EFVA;VAA;;21,7621994;63,05070114
EFVR;medium_airport;Varkaus Airport;286;EU;FI;FI-IS;Varkaus / Joroinen;EFVR;VRK;;27,86860085;62,17110062
EFYL;medium_airport;Ylivieska Airfield;252;EU;FI;FI-OL;;EFYL;YLI;;24,7252778;64,0547222
EG-0003;medium_airport;Bilbeis 2 Airfield;;AF;EG;EG-SHR;Bilbeis;;;;31,67889977;30,42060089
EGAA;large_airport;Belfast International Airport;268;EU;GB;GB-NIR;Belfast;EGAA;BFS;;-6,215829849;54,65750122
EGAB;medium_airport;St Angelo Airport;155;EU;GB;GB-NIR;Enniskillen;EGAB;ENK;;-7,651669979;54,39889908
EGAC;large_airport;George Best Belfast City Airport;15;EU;GB;GB-NIR;Belfast;EGAC;BHD;;-5,872499943;54,61809921
EGAE;medium_airport;City of Derry Airport;22;EU;GB;GB-NIR;Derry;EGAE;LDY;;-7,161109924;55,0428009
EGBB;large_airport;Birmingham International Airport;327;EU;GB;GB-ENG;Birmingham;EGBB;BHX;;-1,748029947;52,45389938
EGBE;medium_airport;Coventry Airport;267;EU;GB;GB-ENG;Coventry;EGBE;CVT;;-1,479719996;52,36970139
